Date,Open,High,Low,Close,Volume
10/12/2022 0:00,19061,19125,19028,19091,48.47
10/12/2022 1:00,19094,19098,19033,19063,15.01
10/12/2022 2:00,19062,19077,19033,19065,10.39
10/12/2022 3:00,19069,19082,19045,19048,11.59
10/12/2022 4:00,19048,19120,19045,19097,16.32
10/12/2022 5:00,19101,19136,19073,19115,20.6
10/12/2022 6:00,19112,19196,19091,19152,61.18
10/12/2022 7:00,19148,19163,19087,19113,12.41
10/12/2022 8:00,19113,19154,19092,19143,68.62
10/12/2022 9:00,19144,19199,19136,19174,42.48
10/12/2022 10:00,19172,19186,19127,19153,22.3
10/12/2022 11:00,19151,19167,19113,19115,25.36
10/12/2022 12:00,19118,19172,18967,19077,63.86
10/12/2022 13:00,19073,19149,19036,19118,98.93
10/12/2022 14:00,19132,19134,19062,19091,47.2
10/12/2022 15:00,19089,19150,19089,19137,60.21
10/12/2022 16:00,19143,19149,19081,19097,32.06
10/12/2022 17:00,19099,19113,19070,19087,17.52
10/12/2022 18:00,19100,19155,19048,19114,64.53
10/12/2022 19:00,19116,19175,19102,19140,47.22
10/12/2022 20:00,19143,19168,19134,19168,18.94
10/12/2022 21:00,19167,19191,19164,19180,22.62
10/12/2022 22:00,19183,19229,19154,19157,24.29
10/12/2022 23:00,19154,19172,19143,19157,18.13
10/13/2022 0:00,19156,19171,19130,19149,6.43
10/13/2022 1:00,19142,19155,19095,19109,14.11
10/13/2022 2:00,19105,19111,19017,19086,15.05
10/13/2022 3:00,19087,19112,19078,19089,14.2
10/13/2022 4:00,19088,19095,19069,19093,25.16
10/13/2022 5:00,19086,19110,19053,19089,25.24
10/13/2022 6:00,19089,19099,19043,19061,12.02
10/13/2022 7:00,19060,19060,18955,19009,54.9
10/13/2022 8:00,19009,19034,18963,19012,25.35
10/13/2022 9:00,19012,19029,18978,18990,31.2
10/13/2022 10:00,18994,18999,18584,18701,310.72
10/13/2022 11:00,18672,18829,18662,18751,134.75
10/13/2022 12:00,18752,19002,18183,18389,661.38
10/13/2022 13:00,18384,18473,18272,18432,219.24
10/13/2022 14:00,18428,18494,18391,18413,165.14
10/13/2022 15:00,18421,19045,18409,18958,345.98
10/13/2022 16:00,18964,19190,18907,19080,93.49
10/13/2022 17:00,19087,19219,19071,19158,102.16
10/13/2022 18:00,19158,19504,19149,19418,313.27
10/13/2022 19:00,19444,19466,19323,19375,106.14
10/13/2022 20:00,19366,19489,19360,19381,92.7
10/13/2022 21:00,19383,19434,19331,19406,105.25
10/13/2022 22:00,19405,19450,19390,19434,23.83
10/13/2022 23:00,19435,19445,19359,19377,23.1
10/14/2022 0:00,19374,19438,19345,19412,14.52
10/14/2022 1:00,19409,19947,19401,19857,231.54
10/14/2022 2:00,19876,19910,19772,19829,58.48
10/14/2022 3:00,19829,19868,19786,19812,29.46
10/14/2022 4:00,19816,19844,19798,19810,12.82
10/14/2022 5:00,19819,19844,19735,19807,10.97
10/14/2022 6:00,19802,19830,19780,19793,28.86
10/14/2022 7:00,19792,19807,19571,19645,115.04
10/14/2022 8:00,19638,19673,19566,19617,19.5
10/14/2022 9:00,19612,19659,19525,19649,67.57
10/14/2022 10:00,19650,19742,19632,19692,48.16
10/14/2022 11:00,19689,19744,19595,19596,20.39
10/14/2022 12:00,19596,19852,19578,19801,89.98
10/14/2022 13:00,19810,19811,19634,19669,42.75
10/14/2022 14:00,19663,19663,19354,19463,183.42
10/14/2022 15:00,19458,19513,19326,19356,48.5
10/14/2022 16:00,19354,19399,19224,19305,79.4
10/14/2022 17:00,19308,19375,19292,19363,17.66
10/14/2022 18:00,19356,19356,19139,19204,84.35
10/14/2022 19:00,19217,19267,19116,19169,29.95
10/14/2022 20:00,19166,19212,19133,19175,33.6
10/14/2022 21:00,19185,19204,19083,19113,32.62
10/14/2022 22:00,19108,19164,19092,19159,6.3
10/14/2022 23:00,19161,19195,19147,19181,7.96
10/15/2022 0:00,19184,19229,19179,19201,10.39
10/15/2022 1:00,19201,19210,19174,19175,20.17
10/15/2022 2:00,19170,19204,19138,19196,11.04
10/15/2022 3:00,19195,19216,19182,19203,6.3
10/15/2022 4:00,19203,19212,19180,19189,7.46
10/15/2022 5:00,19190,19196,19163,19176,5.58
10/15/2022 6:00,19178,19189,19162,19168,7.43
10/15/2022 7:00,19168,19183,19139,19171,11.38
10/15/2022 8:00,19170,19175,19049,19069,25.36
10/15/2022 9:00,19071,19125,19067,19110,31.59
10/15/2022 10:00,19110,19177,19098,19157,10.44
10/15/2022 11:00,19156,19167,19143,19166,8.15
10/15/2022 12:00,19165,19197,19154,19169,18.98
10/15/2022 13:00,19170,19178,19100,19171,10.52
10/15/2022 14:00,19171,19179,19121,19146,10.44
10/15/2022 15:00,19143,19147,19123,19130,4.98
10/15/2022 16:00,19130,19164,19113,19127,12.64
10/15/2022 17:00,19127,19136,19102,19110,34.13
10/15/2022 18:00,19110,19137,19106,19125,8.06
10/15/2022 19:00,19120,19125,19070,19105,20.33
10/15/2022 20:00,19103,19111,19087,19097,7.03
10/15/2022 21:00,19097,19098,19061,19070,8.42
10/15/2022 22:00,19070,19091,19049,19060,8.11
10/15/2022 23:00,19062,19129,18990,19066,32.52
10/16/2022 0:00,19072,19143,19067,19141,6.87
10/16/2022 1:00,19132,19165,19112,19143,16.37
10/16/2022 2:00,19147,19164,19109,19115,9.17
10/16/2022 3:00,19114,19138,19110,19122,5.29
10/16/2022 4:00,19122,19157,19112,19139,8.8
10/16/2022 5:00,19137,19154,19124,19151,3.9
10/16/2022 6:00,19150,19155,19119,19134,5.98
10/16/2022 7:00,19129,19150,19116,19134,11.6
10/16/2022 8:00,19134,19187,19134,19163,9.6
10/16/2022 9:00,19165,19165,19136,19140,23.86
10/16/2022 10:00,19140,19151,19092,19126,8.43
10/16/2022 11:00,19129,19154,19120,19146,14.95
10/16/2022 12:00,19145,19150,19117,19137,13.19
10/16/2022 13:00,19135,19145,19123,19129,6.41
10/16/2022 14:00,19127,19140,19111,19131,8.86
10/16/2022 15:00,19130,19174,19125,19155,15.11
10/16/2022 16:00,19158,19169,19127,19140,6.11
10/16/2022 17:00,19139,19160,19132,19135,4.16
10/16/2022 18:00,19132,19150,19122,19134,3.06
10/16/2022 19:00,19135,19375,19134,19375,111.66
10/16/2022 20:00,19375,19425,19270,19336,55.77
10/16/2022 21:00,19336,19367,19111,19147,23.43
10/16/2022 22:00,19144,19354,19128,19300,34.18
10/16/2022 23:00,19305,19316,19230,19264,10.24
10/17/2022 0:00,19262,19307,19213,19230,47.68
10/17/2022 1:00,19233,19235,19184,19188,11.38
10/17/2022 2:00,19177,19211,19171,19204,13.64
10/17/2022 3:00,19203,19206,19160,19192,12.37
10/17/2022 4:00,19173,19235,19166,19232,37.39
10/17/2022 5:00,19230,19284,19228,19273,46.77
10/17/2022 6:00,19276,19308,19226,19244,21.83
10/17/2022 7:00,19242,19313,19238,19298,32.83
10/17/2022 8:00,19300,19301,19246,19262,39.25
10/17/2022 9:00,19262,19363,19253,19341,60.51
10/17/2022 10:00,19348,19423,19348,19399,64.69
10/17/2022 11:00,19400,19539,19370,19459,159.58
10/17/2022 12:00,19457,19583,19419,19520,86.33
10/17/2022 13:00,19520,19672,19520,19589,129.67
10/17/2022 14:00,19590,19643,19440,19470,44.83
10/17/2022 15:00,19475,19582,19436,19539,48.44
10/17/2022 16:00,19538,19590,19483,19514,35.82
10/17/2022 17:00,19510,19535,19454,19522,39.25
10/17/2022 18:00,19521,19532,19450,19518,28.18
10/17/2022 19:00,19514,19554,19488,19527,54.38
10/17/2022 20:00,19528,19556,19509,19531,25.01
10/17/2022 21:00,19529,19542,19492,19518,31.59
10/17/2022 22:00,19516,19619,19474,19528,42.93
10/17/2022 23:00,19517,19570,19510,19547,27.28
10/18/2022 0:00,19547,19615,19516,19599,44.53
10/18/2022 1:00,19594,19624,19520,19537,38.16
10/18/2022 2:00,19535,19540,19486,19495,36.13
10/18/2022 3:00,19490,19574,19490,19550,34.27
10/18/2022 4:00,19548,19610,19543,19582,42.24
10/18/2022 5:00,19582,19588,19539,19556,46.03
10/18/2022 6:00,19552,19700,19541,19642,77.88
10/18/2022 7:00,19636,19693,19570,19671,77.55
10/18/2022 8:00,19668,19673,19531,19538,52.62
10/18/2022 9:00,19524,19564,19473,19528,88.04
10/18/2022 10:00,19526,19585,19505,19530,45.88
10/18/2022 11:00,19535,19604,19531,19566,104.28
10/18/2022 12:00,19566,19646,19566,19633,72.35
10/18/2022 13:00,19635,19676,19534,19534,83.62
10/18/2022 14:00,19542,19572,19371,19421,81.03
10/18/2022 15:00,19399,19452,19287,19374,65.95
10/18/2022 16:00,19373,19438,19351,19416,43.93
10/18/2022 17:00,19415,19437,19369,19408,88.13
10/18/2022 18:00,19408,19410,19181,19224,105.05
10/18/2022 19:00,19219,19220,19099,19220,72.1
10/18/2022 20:00,19220,19431,19207,19368,89.83
10/18/2022 21:00,19372,19378,19223,19300,30.27
10/18/2022 22:00,19295,19333,19260,19321,61.31
10/18/2022 23:00,19321,19370,19310,19334,43.36
10/19/2022 0:00,19329,19356,19235,19236,44.87
10/19/2022 1:00,19233,19323,19231,19317,48.93
10/19/2022 2:00,19313,19319,19251,19289,44.21
10/19/2022 3:00,19294,19303,19257,19285,46.33
10/19/2022 4:00,19284,19306,19262,19278,47.36
10/19/2022 5:00,19277,19305,19242,19255,41.47
10/19/2022 6:00,19247,19277,19160,19190,90.23
10/19/2022 7:00,19193,19240,19185,19220,45.77
10/19/2022 8:00,19216,19234,19153,19198,93
10/19/2022 9:00,19200,19279,19200,19271,28.34
10/19/2022 10:00,19271,19277,19184,19215,43.57
10/19/2022 11:00,19216,19219,19150,19198,70.04
10/19/2022 12:00,19200,19200,19113,19165,55.48
10/19/2022 13:00,19168,19230,19078,19117,171.79
10/19/2022 14:00,19118,19226,19101,19152,55.15
10/19/2022 15:00,19155,19304,19140,19267,75.02
10/19/2022 16:00,19268,19279,19173,19178,14.92
10/19/2022 17:00,19176,19194,19102,19185,66.96
10/19/2022 18:00,19181,19217,19168,19187,8.25
10/19/2022 19:00,19187,19226,19152,19226,12.64
10/19/2022 20:00,19228,19243,19136,19198,104.83
10/19/2022 21:00,19195,19207,19157,19199,26.41
10/19/2022 22:00,19192,19196,19109,19142,40.85
10/19/2022 23:00,19141,19161,19091,19126,26.16
10/20/2022 0:00,19128,19160,18913,18975,106.17
10/20/2022 1:00,18943,19053,18931,19049,21.58
10/20/2022 2:00,19042,19079,19016,19063,95.72
10/20/2022 3:00,19061,19064,19014,19048,41.19
10/20/2022 4:00,19042,19203,19040,19179,105.5
10/20/2022 5:00,19186,19190,19117,19139,41.62
10/20/2022 6:00,19146,19146,19100,19123,56.84
10/20/2022 7:00,19130,19161,19102,19143,29.07
10/20/2022 8:00,19148,19161,19112,19114,37.82
10/20/2022 9:00,19118,19189,19105,19187,60.03
10/20/2022 10:00,19186,19247,19140,19192,74.28
10/20/2022 11:00,19208,19227,19191,19212,81.59
10/20/2022 12:00,19212,19280,19137,19137,75.28
10/20/2022 13:00,19143,19218,19132,19177,74.36
